item	corpus_ID	idx	final_label	individual_labels	target	prev	next
absorción|NOUN|f	3	2	2	2,2,2,2,2	Pero la absorción fue precedida por el período más aciago , de 1520 a 1550 , y a ese período voy a referirme .	Siena era una ciudad-república siempre codiciada por el ducado de Florencia , que terminó por absorbernos bajo Cosme I de la casa de los Médicis .	El gobierno de la ciudad-estado de Siena era un caos , dominado por cinco clanes , los monti , que se combatieron hasta que arruinaron la ciudad .
absorción|NOUN|f	1	4	2	2,2,2,2,2	En principio , la absorción será efectiva a partir del próximo 1 de noviembre .	En estas circunstancias , la teleco ha empezado a comunicar este cambio por carta a los clientes , a los que se les hará una oferta comercial basada en las citadas tecnologías con nuevos servicios .	Bajo el cambio , Telefónica de España absorberá los negocios , activos y plantilla de Iberbanda ( se acerca a los 60 trabajadores ) , además de todos sus derechos y obligaciones .
absorción|NOUN|f	1	20	2	2,2,2,2,2	La caída está provocada por el impacto de la reordenación de la actividad de seguros , dentro del proceso de absorción de Banco Ceiss , y por el que la entidad andaluza compró a Mapfre el 50 % de Duero Vida y Pensiones que compartían y pasó a trabajar únicamente con Santa Lucía como proveedor de seguros .	Unicaja ha obtenido un beneficio neto atribuido al cierre del tercer trimestre del año de 136 millones de euros , lo que supone un descenso del 30,3 % interanual .	Sin tener en cuenta el coste de romper la alianza con Mapfre , el beneficio atribuido del grupo se habría situado en 177 millones de euros y habría crecido el 31,7 % interanual .
absorción|NOUN|f	1	20	2	2,2,2,2,2	La plantilla ha ido creciendo en los dos últimos años con la adquisición de Testa a Sacyr y tras la absorción del negocio comercial de Metrovacesa .	La compañía , creada hace tres años , emplea a 165 personas .	La actividad de la empresa es la compra y gestión de propiedades inmobiliarias : edificios de oficinas , centros comerciales , tiendas y parques logísticos , principalmente .
absorción|NOUN|f	1	20	2	2,2,2,1,2	A este respecto , Isla comentó que “ en la segunda parte del año hemos decidido acelerar el volumen de absorciones .	Sin embargo , y pese a que la prioridad ya era el incremento de la superficie por encima del número de tiendas , Inditex inició su ejercicio 2018 con una previsión de acabar el año con al menos 150 aperturas netas , que finalmente solo se han quedado en 15 .	Estamos en línea con la previsión en superficie comercial .
absorción|NOUN|f	1	10	2	2,2,2,2,2	Presentada como fusión , la operación es sin embargo una absorción de Mediaset España por parte del grupo italiano , en la que la ecuación de canje deja en desventaja a los accionistas españoles .	Ayer , a última hora , la compañía comunicó a la Comisión Nacional del Mercado de Valores ( CNMV ) el proyecto de fusión , los informes de valoración , la propuesta de estatutos y la identidad de los consejeros propuestos para el grupo resultante como consecuencia de la fusión .	Así , el canje propuesto es de 2,33 acciones de Mediaset , la matriz , por cada una de Mediaset España , lo que supone valorar esta última en 6,28 euros por acción .
absorción|NOUN|f	1	29	2	2,2,2,2,2	La gestión de José Ignacio Goirigolzarri y su equipo han logrado poner en valor una franquicia que está muy bien capitalizada y que afrontará en los próximos meses la absorción de BMN , su primera operación corporativa .	Bankia hacía tiempo que ya había normalizado sus cuentas .	El banco ganó en el primer semestre 514 millones de euros , un 6,9 % más que hace un año .
absorción|NOUN|f	1	26	2	2,2,2,2,2	En primer lugar , durante el ejercicio 2017 se produjeron varias combinaciones de negocios ( adquisición de Banco Popular por parte de Santander , fusión por absorción de Banco Mare Nostrum por parte de Bankia y control de BPI por parte de CaixaBank ) .	Esto se debe , principalmente , a dos factores , destaca el estudio .	El segundo factor es que en las cuentas de 2017 se reflejó la entrada en vigor de la NIIF 9 y los informes de varias entidades financieras recogían , de forma separada , el análisis del impacto de esta norma y el deterioro de la cartera crediticia mientras que en las cuentas de 2018 se unificaron dentro de la tipología de cartera crediticia .
absorción|NOUN|f	1	8	1	1,1,1,1,1	La seca ( un hongo que obstaculiza la absorción de agua ) afecta sobre todo a las dehesas extremeñas , aunque se extiende a Andalucía , Castilla y León y Castilla-La Mancha .	Las encinas , que suponen el 45 % de la superficie arbolada , están en peor situación , añade .	La falta de gestión forestal , con el consecuente abandono rural , es la principal problemática que afecta a los bosques españoles , junto con el cambio climático .
absorción|NOUN|f	1	1	2	2,2,2,2,2	La absorción de Banco Popular es un auténtico desafío en términos de saneamiento , pero el banco ha decidido abordarlo marcando también distancia con sus rivales y poniendo un nuevo listón en los niveles de cobertura de los activos tóxicos .	En términos brutos , sin contar con el esfuerzo extra en provisiones que realizará Santander , la carga tóxica de Popular ronda los 36.000 millones de euros , una cuantía próxima los 40.000 millones que gestiona Sareb , el banco malo .	Tras las provisiones adicionales sobre los activos tóxicos de Popular , los niveles de cobertura quedarán en el 52 % , por encima de la media de los competidores , afirma la entidad .
